,indenização_count,revisão_count,tarifa_count,file,label
424,0,3,10,../data/VAC0538666_1.txt,tarifa
425,3,20,18,../data/VAC0921762_1.txt,revisão
426,6,0,0,../data/VAC0974352_1.txt,indenização
427,6,0,0,../data/VAC0975956_1.txt,indenização
428,1,5,6,../data/VAC0899059_1.txt,tarifa
429,4,0,0,../data/VAC1097832_1.txt,indenização
430,6,2,0,../data/VAC1002657_1.txt,indenização
431,1,0,0,../data/VAC0979229_1.txt,indenização
432,0,0,0,../data/VAC0798471_1.txt,
433,0,19,0,../data/VAC0670587_1.txt,revisão
434,5,3,4,../data/VAC0997431_1.txt,indenização
435,3,1,1,../data/VAC0954644_1.txt,indenização
436,1,1,0,../data/VAC1033083_1.txt,
437,0,60,4,../data/VAC0558922_1.txt,revisão
438,2,7,21,../data/VAC0682592_1.txt,tarifa
439,0,1,7,../data/VAC0901895_1.txt,tarifa
440,6,8,0,../data/VAC0710203_1.txt,revisão
441,0,28,0,../data/VAC0464822_1.txt,revisão
442,0,0,0,../data/VAC0719753_1.txt,
443,0,14,0,../data/VAC0986409_1.txt,revisão
444,2,7,11,../data/VAC0924589_1.txt,tarifa
445,0,4,5,../data/VAC0697207_1.txt,tarifa
446,0,14,19,../data/VAC0749721_1.txt,tarifa
447,0,0,0,../data/VAC0975246_1.txt,
448,2,2,1,../data/VAC0883078_1.txt,
449,1,43,7,../data/VAC0563694_1.txt,revisão
450,2,0,0,../data/VAC0799104_1.txt,indenização
451,0,0,5,../data/VAC0894901_1.txt,tarifa
452,0,0,0,../data/VAC0937045_1.txt,
453,0,8,22,../data/VAC0424854_1.txt,tarifa
454,2,0,0,../data/VAC0816071_1.txt,indenização
455,1,13,0,../data/VAC0825883_1.txt,revisão
456,9,0,0,../data/VAC0966401_1.txt,indenização
457,0,0,18,../data/VAC1022138_1.txt,tarifa
458,8,0,1,../data/VAC0765070_1.txt,indenização
459,9,0,0,../data/VAC0754726_1.txt,indenização
460,1,24,8,../data/VAC0877762_1.txt,revisão
461,0,24,0,../data/VAC0930160_1.txt,revisão
462,2,0,1,../data/VAC0908938_1.txt,indenização
463,0,0,0,../data/VAC0925701_1.txt,
464,0,6,3,../data/VAC0964483_1.txt,revisão
465,14,0,0,../data/VAC0748029_1.txt,indenização
466,0,0,0,../data/VAC0849677_1.txt,
467,5,1,0,../data/VAC1067202_1.txt,indenização
468,0,7,13,../data/VAC0596375_1.txt,tarifa
469,9,4,0,../data/VAC0963319_1.txt,indenização
470,0,0,0,../data/VAC0003389_1.txt,
471,1,0,0,../data/VAC0816715_1.txt,indenização
472,2,14,1,../data/VAC0531925_1.txt,revisão
473,0,0,0,../data/VAC0945271_1.txt,
474,3,0,0,../data/VAC0988874_1.txt,indenização
475,0,9,23,../data/VAC1020473_1.txt,tarifa
476,21,0,0,../data/VAC0999155_2.txt,indenização
477,28,2,0,../data/VAC0350179_1.txt,indenização
478,1,39,4,../data/VAC0887398_1.txt,revisão
479,0,7,1,../data/VAC0963707_1.txt,revisão
480,0,37,1,../data/VAC0783079_1.txt,revisão
481,3,1,0,../data/VAC0928126_1.txt,indenização
482,2,11,5,../data/VAC0932491_1.txt,revisão
483,0,0,0,../data/VAC0890623_1.txt,
484,0,1,3,../data/VAC0906725_1.txt,tarifa
485,0,0,0,../data/VAC0941209_1.txt,
486,0,0,0,../data/VAC1019808_1.txt,
487,1,2,10,../data/VAC0529619_1.txt,tarifa
488,4,0,0,../data/VAC0978821_2.txt,indenização
489,5,2,13,../data/VAC0766150_1.txt,tarifa
490,0,19,0,../data/VAC0176917_1.txt,revisão
491,5,0,0,../data/VAC0811982_1.txt,indenização
492,0,7,20,../data/VAC0902265_1.txt,tarifa
493,0,0,0,../data/VAC0880137_2.txt,
494,3,0,1,../data/VAC1020373_1.txt,indenização
495,0,0,0,../data/VAC0866235_1.txt,
496,0,27,2,../data/VAC1019857_1.txt,revisão
497,0,3,6,../data/VAC0886835_1.txt,tarifa
498,26,1,0,../data/VAC0819598_1.txt,indenização
499,3,6,10,../data/VAC0996996_1.txt,tarifa
500,0,0,0,../data/VAC0917961_1.txt,
501,0,0,0,../data/VAC0584205_1.txt,
502,16,0,0,../data/VAC1008978_1.txt,indenização
503,10,0,1,../data/VAC0920559_1.txt,indenização
504,0,22,1,../data/VAC0654066_1.txt,revisão
505,1,6,24,../data/VAC0653455_1.txt,tarifa
506,0,3,2,../data/VAC0263151_1.txt,revisão
507,1,1,5,../data/VAC0919082_1.txt,tarifa
508,0,0,0,../data/VAC0940642_1.txt,
509,0,0,0,../data/VAC0833830_1.txt,
510,0,0,0,../data/VAC0909282_1.txt,
511,0,3,5,../data/VAC0848925_2.txt,tarifa
512,0,0,0,../data/VAC0860567_1.txt,
513,0,8,13,../data/VAC1018603_1.txt,tarifa
514,0,0,0,../data/VAC0835261_2.txt,
515,0,2,0,../data/VAC0955439_1.txt,revisão
516,0,25,19,../data/VAC0963471_1.txt,revisão
517,0,0,0,../data/VAC0992790_1.txt,
518,2,0,0,../data/VAC0893635_1.txt,indenização
519,0,0,0,../data/VAC1002256_1.txt,
520,0,13,19,../data/VAC0827138_1.txt,tarifa
521,15,0,0,../data/VAC1074253_2.txt,indenização
522,0,2,11,../data/VAC1010861_1.txt,tarifa
523,4,12,42,../data/VAC0703802_1.txt,tarifa
